krs,status_code,error,name_discovery,source_codes
0000027494,204,not_found_or_deregistered,"""ALUTECH""SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000028143,204,not_found_or_deregistered,"""WOD-KAN LUBACZÓW"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000028156,204,not_found_or_deregistered,"""VARIA - APD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000028687,204,not_found_or_deregistered,PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWE PEGAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000028979,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO-USŁUGOWE ""SOLIDEX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000029672,204,not_found_or_deregistered,"""BUDEX - SZYK"" R.PROKOP I SPÓŁKA - SPÓŁKA JAWNA",16.10.Z:main
0000029697,204,not_found_or_deregistered,"""EPO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000030951,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""EURO-DROMPEX"" SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000032369,204,not_found_or_deregistered,WLW - TAX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000033137,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWO-HANDLOWE ""FILPLAST-GŁOGÓWEK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000033339,204,not_found_or_deregistered,SOLID SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000033449,204,not_found_or_deregistered,"""STOLPOL"" LANGE I WSPÓLNICY SPÓŁKA JAWNA",16.10.Z:main
0000034783,204,not_found_or_deregistered,"""EKOPŁYTA"" SPÓŁKA AKCYJNA",16.10.Z:main
0000036135,204,not_found_or_deregistered,"FIRMA HANDLOWA ""EKKOM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000036559,204,not_found_or_deregistered,"""CPN SERWIS ZACHÓD""",16.10.Z:main
0000036911,204,not_found_or_deregistered,FABRYKA MEBLI PRUDNIK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000037100,204,not_found_or_deregistered,"""POLSKO KANADYJSKIE PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWE PROGRESS INTERNATIONAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""",16.10.Z:main
0000037659,204,not_found_or_deregistered,"""RAJ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000037949,204,not_found_or_deregistered,INDUSTRI NORTH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000039649,204,not_found_or_deregistered,"""COMTRANS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000039692,204,not_found_or_deregistered,KPM - MEBLE KŁODZKO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000040194,204,not_found_or_deregistered,ATENA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000040478,204,not_found_or_deregistered,LIGNARIUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000040905,204,not_found_or_deregistered,"""GŁADYSZ"" ZAKŁAD REMONTOWO - BUDOWLANY GŁADYSZ GRZEGORZ, GŁADYSZ LUDMIŁA SPÓŁKA JAWNA",16.10.Z:main
0000041118,204,not_found_or_deregistered,PRZEDSIĘBIORSTWO BUDOWY URZĄDZEŃ CHŁODNICZYCH SPÓŁKA AKCYJNA,16.10.Z:main
0000041137,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO BUDOWLANO-USŁUGOWE I HANDLU ""SEGMENT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000041529,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO ENERGETYKI CIEPLNEJ ""FLUPAL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000042751,204,not_found_or_deregistered,SATER-POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000043028,204,not_found_or_deregistered,"""KOŁBON"" SPÓŁKA JAWNA ANTONI KOŁBON TADEUSZ KOŁBON",16.10.Z:main
0000043762,204,not_found_or_deregistered,"""DREHABUD"" KRUSZLIŃSKA, HINC SPÓŁKA JAWNA",16.10.Z:main
0000044173,204,not_found_or_deregistered,"""DREWEXIM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000045165,204,not_found_or_deregistered,ZAKŁADY PRZETWÓRSTWA TWORZYW SZTUCZNYCH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000045281,204,not_found_or_deregistered,"SPÓŁDZIELNIA USŁUGOWA ""PIAST"" W LEGNICY",16.10.Z:main
0000045764,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO BUDOWLANE ""POLBUD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000047015,204,not_found_or_deregistered,SPOIW - CANDI JERZY MARKIEWICZ - LESZEK MARKIEWICZ SPÓŁKA JAWNA,16.10.Z:main
0000048123,204,not_found_or_deregistered,"""PREFABET-SPÓŁKA AKCYJNA""",16.10.Z:main
0000048501,204,not_found_or_deregistered,"""INCOM""SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
