krs,name_discovery,nip_discovery,regon_discovery,city_discovery,status_discovery,discovery_sources
0000302197,"""AGRI CHALLENGE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000193762,"""AGRIPOL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000266468,"""AGRO - PARK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000342806,"""AGRO-EKSPERT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000312293,"""AGRO-KOMBI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000229203,"""AGRO-KRUSZ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000179759,"""AGRO-KUJAWY II"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000246702,"""AGRO-LAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000246702,"""AGRO-LAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000357133,"""AGRO-POL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,LIQUIDATION,16.10.Z:main
0000357133,"""AGRO-POL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,LIQUIDATION,16.10.Z:main
0000103645,"""AGRO-SERWIS"" - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000186161,"""AGROCAST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000267413,"""AGRODAW"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000165560,"""AGRODREW"" PRZEDSIĘBIORSTWO PRZEMYSŁU DRZEWNEGO SPRINGER - WROŃSKI SPÓŁKA JAWNA",,,,LIQUIDATION,16.10.Z:main
0000165560,"""AGRODREW"" PRZEDSIĘBIORSTWO PRZEMYSŁU DRZEWNEGO SPRINGER - WROŃSKI SPÓŁKA JAWNA",,,,LIQUIDATION,16.10.Z:main
0000310739,"""AGROENERGY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000310739,"""AGROENERGY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000090814,"""AGROEST"" JAROSZEWSKI, JUREWICZ SPÓŁKA JAWNA",,,,ACTIVE,16.10.Z:main
0000158216,"""AGROKOMPLEKS W.GIERS SPÓŁKA JAWNA""",,,,ACTIVE,16.10.Z:main
0000158216,"""AGROKOMPLEKS W.GIERS SPÓŁKA JAWNA""",,,,ACTIVE,16.10.Z:main
0000193247,"""AGROL"" PRZEDSIĘBIORSTWO PRODUKCYJNO - HANDLOWE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000470962,"""AGROMECH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000043773,"""AGROMEG"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000043773,"""AGROMEG"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000254963,"""AGRONATURA - K.ŁYŚ I SPÓŁKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000162842,"""AGRONICA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000163183,"""AGROPECUARIA SILESIA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000163183,"""AGROPECUARIA SILESIA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
